usTicker,usCompany,theme,product,twCode,twName,twRole,relationship,benefitReason,confidence,lastEvidenceDate,lastEvidenceTitle,hitCount,updatedAt
,Lattice (萊迪思半導體),伺服器管理晶片,低功耗FPGA / eFPGA技術 (整合於AST1840 SMC),5274,信驊,SMC晶片設計商，整合Lattice FPGA技術,信驊與Lattice合作推出AST1840輔助管理晶片(SMC)，將Lattice低功耗FPGA技術整合至信驊SMC平台,借助Lattice在低功耗、可程式化FPGA技術領導地位，整合至信驊SMC平台，優化產品組合並提升客戶黏著度,8,2026-06-15,1781655329938_5274信驊-華南260615.pdf,1,2026/06/17 09:16:05 JST
AVGO,Broadcom,AI Network,Switch Silicon / ASIC,2345,智邦,ODM,高階網路交換器代工與製造,博通高階網路及主機ASIC晶片需求暢旺，智邦法說會及股東會釋出最新展望，指出目前客戶訂單比去年底更強勁，下半年展望審慎樂觀、海內外加速擴產。,9,2026/06/13,智邦看今年需求更勝去年，海內外加速擴產卡位商機,1,2026/06/14 00:37:49 JST
MU,Micron Technology,HBM,HBM / HBM4 / Carrier wafer,3532,台勝科,Material,矽晶圓 / Carrier wafer 供應商,台勝科於股東常會指出下半年營運優於上半年，並積極佈局封測、HBM、Carrier wafer 與矽電容等新領域，與美光等晶粒及晶圓級封裝廠具高度相關性。,9,2026/06/13,台勝科今年H2優於H1 將跨入封測、HBM、Carrier wafer、矽電容領域,1,2026/06/14 00:37:49 JST
SPACEX,SpaceX,Space Computing,低軌衛星天線及射頻元件,3491,昇達科,Component Supplier,微波/毫米波射頻元件供應商,SpaceX 創紀錄的 IPO 順利掛牌上市引發市場高度關注，昇達科作為其低軌衛星本體及地面接收站射頻元件核心供應商，後續成長動能強勁。,9,2026/06/13,美股劇烈震盪；SpaceX IPO 強勢登場，甲骨文重挫：每週回顧,1,2026/06/14 00:37:49 JST
SPACEX,SpaceX,Space Computing,高階 HDI 印刷電路板,2313,華通,PCB Supplier,衛星與地面站 PCB 主力供應商,SpaceX 順利完成 IPO 掛牌並獲市場熱烈追捧，華通為 SpaceX 星鏈衛星本體與接收端 HDI 板主力供應商，持續受惠於低軌衛星出貨放量。,9,2026/06/13,美股劇烈震盪；SpaceX IPO 強勢登場，甲骨文重挫：每週回顧,1,2026/06/14 00:37:49 JST
NVDA,Nvidia,AI伺服器,GB200高速銅纜互連,3665,貿聯-KY,高速線束與連接器供應商,輝達GB200伺服器內部採用大量銅纜（NVLink Spine）進行短距互連，貿聯-KY為其主要合格高速線束供應商,受益於GB200架構中「以銅代光」的短連結設計，需要大量高規格高速銅線，帶動其產品出貨量與毛利率攀升,9,2026-06-13,2026-06-13-_精華_COMPUTEX曝光通訊大商機_光進銅退成真_廖婉婷_銅線廠靠1關鍵逆襲_鈔錢部署_盧燕俐_ft_廖婉婷__20260613.md,1,2026-06-16 05:48:22
NVDA,Nvidia,AI伺服器,高速傳輸連接器與線束,6197,佳必琪,高速連接器與線束供應商,佳必琪為輝達合格認證供應商，直接供應其AI伺服器內部高速傳輸銅線與連接器,COMPUTEX展出之GB200伺服器內部大舉導入高密度銅纜，推升高速傳輸線需求，佳必琪因切入供應鏈而直接受惠,9,2026-06-13,2026-06-13-_精華_COMPUTEX曝光通訊大商機_光進銅退成真_廖婉婷_銅線廠靠1關鍵逆襲_鈔錢部署_盧燕俐_ft_廖婉婷__20260613.md,1,2026-06-16 05:48:22
SPACEX,SpaceX,Space Computing,地面接收站網路設備與用戶端路由器,6285,啟碁,ODM,星鏈地面設備網路代工廠,隨著 SpaceX IPO 強勢登場，其家用與企業地面接收端設備需求預期加速，代工龍頭啟碁將直接受惠其地面端關鍵路由器訂單增長。,8,2026/06/13,美股劇烈震盪；SpaceX IPO 強勢登場，甲骨文重挫：每週回顧,1,2026/06/14 00:37:49 JST
TSM,TSMC,Semiconductor,Advanced Processes / Packaging,2330,台積電,Foundry,晶圓代工與先進製程/先進封裝服務,雖然台積電在美面臨專利訴訟短期干擾，但全球 AI 資本支出擴張，分析師看好台灣為半導體製造核心重鎮，並建議趁此利空逢低佈局台積電。,8,2026/06/13,逢低買股選哪隻？分析師：直接買台積電就好,1,2026/06/14 00:37:49 JST
APH,Amphenol,AI伺服器,高速銅纜與連接系統,3665,貿聯-KY,高速線束代工及供應合作夥伴,安費諾（Amphenol）為輝達伺服器內部高速銅纜互連的主導設計商，貿聯與安費諾有長期合作與代工關係,藉由與大廠安費諾的緊密合作，間接共同切入下一代高端AI運算板卡的高速傳輸線束供應鏈,8,2026-06-13,2026-06-13-_精華_COMPUTEX曝光通訊大商機_光進銅退成真_廖婉婷_銅線廠靠1關鍵逆襲_鈔錢部署_盧燕俐_ft_廖婉婷__20260613.md,1,2026-06-16 05:48:22
NVDA,Nvidia,光通訊/CPO,共同封裝光學器件 (CPO),3363,上詮,高速光學傳輸與光學元件封裝,上詮積極與台積電、輝達合作開發基於CPO架構的矽光子連通道與先進光學連接技術,未來高速傳輸朝「光進銅退」中長距趨勢演進，矽光子與CPO封裝技術將成高速資料中心標準配置，帶動上詮光通訊組件需求,8,2026-06-13,2026-06-13-_精華_COMPUTEX曝光通訊大商機_光進銅退成真_廖婉婷_銅線廠靠1關鍵逆襲_鈔錢部署_盧燕俐_ft_廖婉婷__20260613.md,1,2026-06-16 05:48:22
,Broadcom,AI Network,Switch Silicon / ASIC,2345,智邦,ODM,高階網路交換器代工與製造,智邦表示今年需求比去年底更強勁並計畫加速擴產，顯示高階網路交換器及 ASIC 需求持續暢旺,9,2026/06/12,智邦看今年需求更勝去年，海內外加速擴產卡位商機,3,2026/06/12 06:30:24 JST
,NVIDIA,AI Server,Blackwell B300 / GB300 / Vera Rubin,2376,技嘉,ODM,AI伺服器組裝製造,戴爾獲得 16 億美元的 Blackwell 系統訂單，驗證 Blackwell AI 伺服器需求十分強勁，有利技嘉後續出貨,9,2026/06/12,IREN與戴爾簽署16億美元協議採購Blackwell AI系統,1,2026/06/12 06:30:24 JST
,Micron,HBM,HBM4 / Carrier wafer,3532,台勝科,Material,矽晶圓 / Carrier wafer 供應商,美光受益於記憶體上行週期，且台勝科股東會宣布下半年營運優於上半年，旗下維持高稼動並跨入封測、HBM、Carrier wafer領域,9,2026/06/12,台勝科今年H2優於H1 將跨入封測、HBM、Carrier wafer、矽電容領域,1,2026/06/12 06:30:24 JST
,Micron,HBM,HBM 測試與先進封裝,2330,台積電,晶圓代工與先進封裝 (CoWoS),美光於台灣擴充 HBM 測試及先進封裝產能，與台積電進行更緊密的在地生態圈合作,美光擴大在台 HBM 先進封裝產能，可就近供應台積電的 CoWoS 先進封裝製程，加速 AI 晶片的整體量產與出貨效率,9,2026-06-12,https://www.youtube.com/watch?v=JLNoq73XD78,1,2026-06-12 18:47:51
AMD,Advanced Micro Devices,AI Chip,MI300 Series / AI GPU,2330,台積電,Foundry,AI 晶片先進製程晶圓代工,華爾街分析師將 AMD 評級上調至買進，看好其 GPU 業務被市場低估的上行空間，台積電作為 AMD 先進製程與 CoWoS 封裝的核心代工廠將同步直接受惠。,9,2026/06/12,分析師升評AMD至買進，看好GPU業務上行空間,1,2026/06/14 00:37:49 JST
NVDA,NVIDIA,AI PC,RTX Spark / N1X AI PC 晶片,2454,聯發科,IC Design,晶片共同開發商,ChatGPT 月活躍用戶數突破 10 億反映生成式 AI 落地端需求大增，輝達與聯發科聯手開發的 AI PC 主晶片有利於在 AI PC 持續擴大的出海口中卡位。,9,2026/06/12,ChatGPT月活躍用戶突破10億,1,2026/06/14 00:37:49 JST
NVDA,NVIDIA,先進封裝,AI晶片,3431,弘塑,濕製程設備供應商,輝達AI晶片需求驅使台積電大舉擴充CoWoS產能，弘塑為台積電的核心濕製程設備供應商,SEMI資料顯示台灣半導體設備大擴產，弘塑之自動濕式清洗設備與蝕刻設備受惠於台積電先進封裝擴產熱潮而訂單大增,9,2026-06-12,2026-06-12-SEMI_揭露全球半導體設備_瘋狂大擴產__台灣年增_24__衝刺_誰才是先進封裝設備的終極獲利王__2026_06_12__五_.md,1,2026-06-16 05:47:55
NVDA,NVIDIA,先進封裝,AI晶片,3583,辛耘,濕製程清洗設備與機台代工商,輝達AI需求旺盛致使CoWoS產能供不應求，台積電加速向辛耘採購先進封裝濕製程設備,受惠台灣半導體設備產線大增24%，辛耘自主研發的單晶圓及批次清洗設備於CoWoS產線市佔率極高，直接推升營收表現,9,2026-06-12,2026-06-12-SEMI_揭露全球半導體設備_瘋狂大擴產__台灣年增_24__衝刺_誰才是先進封裝設備的終極獲利王__2026_06_12__五_.md,1,2026-06-16 05:47:55
,AMD,AI Chip,MI300 Series / AI GPU,2330,台積電,Foundry,AI 晶片先進製程晶圓代工,AMD 強攻AI市場，旗下 MI300 等 AI 晶片先進製程依然高度依賴台積電晶圓代工，近期股價回檔被視為買進機會,8,2026/06/12,半導體股回檔，3檔AI晶片股是無腦買進好時機,2,2026/06/12 06:30:24 JST
,NVIDIA,AI Server,GPU / CoWoS / Advanced Packaging,2330,台積電,Foundry,GPU 晶圓代工與 CoWoS 先進封裝獨家供應商,儘管台積電在美國面臨專利侵權訴訟，但分析師指出逢低仍為進場良機，AI 晶片對台積電的晶圓代工及 advanced packaging 需求不減,8,2026/06/12,逢低買股選哪隻？分析師：直接買台積電就好,1,2026/06/12 06:30:24 JST
,Micron,記憶體封測,記憶體後段封裝測試代工,2329,華泰,後段封裝測試代工廠,華泰為美光主要的後段記憶體封測合作代工夥伴,隨著美光取得銅鑼廠並大舉擴張台灣的 HBM 及高階記憶體產線，相關封測外包需求預期將同步增加，華泰可望直接受惠,8,2026-06-12,https://www.youtube.com/watch?v=JLNoq73XD78,1,2026-06-12 18:47:51
NVDA,NVIDIA,先進封裝,AI晶片,6187,萬潤,點膠機、點膠量測與自動光學檢測(AOI)設備商,輝達高性能AI晶片需極高封裝精度，萬潤提供台積電CoWoS段關鍵檢測及點膠設備,隨著台積電衝刺先進封裝設備產能，萬潤於點膠設備市場具備強大競爭力，受惠大客戶持續追加訂單,8,2026-06-12,2026-06-12-SEMI_揭露全球半導體設備_瘋狂大擴產__台灣年增_24__衝刺_誰才是先進封裝設備的終極獲利王__2026_06_12__五_.md,1,2026-06-16 05:47:55
,NVIDIA Corporation,AI伺服器,Blackwell B300、GB300、Vera Rubin 平台,2376,技嘉,AI伺服器組裝製造,技嘉採用輝達Blackwell架構推出B300與GB300 AI伺服器平台，並將陸續導入新一代Vera Rubin平台出貨,美光HBM4記憶體已取得認證並將搭載於輝達Vera Rubin AI平台，強化該平台規格，技嘉作為導入該平台出貨之供應鏈將共同受惠,9,2026/06/11,輝達攜手美光HBM4記憶體 強化AI平台,2,2026/06/11 15:53:39 JST
NVDA,NVIDIA,先進封裝,AI GPU (Hopper/Blackwell 系列),2330,台積電,CoWoS 先進封裝代工,輝達所有的 AI 主力 GPU 晶片均高度依賴台積電的 CoWoS 先進封裝技術,黃仁勳對 AI 市場前景極度樂觀，推動輝達晶片需求爆量，台積電先進封裝產能供不應求並持續擴產，保障長期獲利成長,9,2026-06-11,2026-06-11-黃仁勳爸爸看好Marvell捧到誰_台積電_日月光_2檔先進封裝拉回都買點_美股跌_科技股輪動快1招布局_鈔錢部署_盧燕俐_ft_廖婉婷_陳威良_20260611.md,1,2026-06-16 05:47:55
,NVIDIA,AI Server,GPU / Advanced Packaging,2330,台積電,Foundry,GPU 晶圓代工與 CoWoS 先進封裝獨家供應商,雖然台積電在美面臨專利訴訟雜音，但分析師指出訴訟利空為逢低買進良機，台積電身為輝達GPU與先進封裝獨家代工廠的全球AI領先地位依然不變,8,2026/06/11,逢低買股選哪隻？分析師：直接買台積電就好,2,2026/06/11 15:53:39 JST
,AMD,AI Chip,AI GPU / MI300 Series,2330,台積電,Foundry,AI 晶片先進製程晶圓代工,AMD 展示快速升級的營運野心以及在 AI 晶片市場的 50 億美元展望。台積電作為 AMD AI 晶片的唯一代工協力廠，其先進製程產能利用率將持續維持高檔。,8,2026/06/11,AMD股價飆漲背後的50億美元耳語,1,2026/06/11 15:32:29 JST
,Micron,HBM,HBM / HBM4 / Carrier wafer,3532,台勝科,Material,矽晶圓 / Carrier wafer 供應商,美光HBM4記憶體取得輝達認證，將搭載於Vera Rubin平台；而台勝科在股東會上證實今年下半年營運優於上半年，並積極跨入HBM與Carrier wafer領域，受惠記憶體大廠擴產需求,8,2026/06/11,台勝科今年H2優於H1 將跨入封測、HBM、Carrier wafer、矽電容領域,1,2026/06/11 15:53:39 JST
MRVL,Marvell,ASIC,客製化 AI 晶片與高速傳輸晶片,2330,台積電,晶圓代工,Marvell 的高速傳輸及客製化 ASIC 晶片主要下單給台積電先進製程生產,隨著 AI 需求爆發，Marvell 獲得大量客製化晶片訂單，台積電作為其最主要的先進製程代工盟友直接受惠,8,2026-06-11,2026-06-11-黃仁勳爸爸看好Marvell捧到誰_台積電_日月光_2檔先進封裝拉回都買點_美股跌_科技股輪動快1招布局_鈔錢部署_盧燕俐_ft_廖婉婷_陳威良_20260611.md,1,2026-06-16 05:47:55
MRVL,Marvell,先進封裝,晶片後段封測,3711,日月光投控,封裝測試,Marvell 的高速傳輸晶片與 ASIC 後段晶片封測委託日月光投控執行,AI 新產品產能開出，帶動後段高階封測與系統級封裝 (SiP) 訂單量增，挹注日月光營收,8,2026-06-11,2026-06-11-黃仁勳爸爸看好Marvell捧到誰_台積電_日月光_2檔先進封裝拉回都買點_美股跌_科技股輪動快1招布局_鈔錢部署_盧燕俐_ft_廖婉婷_陳威良_20260611.md,1,2026-06-16 05:47:55
NVDA,NVIDIA,先進封裝,AI GPU 封測分流,3711,日月光投控,先進封裝與測試,輝達在台積電先進封裝產能吃緊之際，將部分先進封裝 (oS段) 及測試訂單分流委外給日月光,受惠於輝達先進封裝外溢效應，且高階測試時間拉長，日月光稼動率與平均單價雙雙提升,8,2026-06-11,2026-06-11-黃仁勳爸爸看好Marvell捧到誰_台積電_日月光_2檔先進封裝拉回都買點_美股跌_科技股輪動快1招布局_鈔錢部署_盧燕俐_ft_廖婉婷_陳威良_20260611.md,1,2026-06-16 05:47:55
,KLA,Semiconductor Equipment,Inspection Equipment,2330,台積電,Foundry,晶圓檢測設備採購客戶,KLA獲分析師大舉調高目標價，預示晶圓檢測與良率控制設備需求依然強大，台積電等先進晶圓代工龍頭持續擴充先進產能，對KLAC晶圓檢測設備維持高度採購指標性需求,7,2026/06/11,分析師調高目標價25% KLA股價跑贏大盤,2,2026/06/11 15:53:39 JST
,Micron,HBM,HBM4,3532,台勝科,Material,矽晶圓 / Carrier wafer 供應商,美光 HBM4 記憶體取得認證將搭載於輝達 Vera Rubin AI 平台；台勝科股東會宣布下半年優於上半年，並積極跨入 HBM 以及封測所需之 Carrier wafer (載板晶圓) 與矽電容新領域，切入高階記憶體材料供應鏈。,7,2026/06/11,台勝科今年H2優於H1 將跨入封測、HBM、Carrier wafer、矽電容領域,1,2026/06/11 15:32:29 JST
NVDA,NVIDIA,先進封裝設備,濕製程建置設備,3131,弘塑,濕製程設備供應商,輝達對台積電 CoWoS 產能要求擴大，間接促使台積電加速向弘塑採購先進封裝濕製程設備,台積電積極擴充先進封裝產能以滿足輝達需求，身為主要濕製程設備合作夥伴的弘塑，機台出貨排程已排至後續季度,7,2026-06-11,2026-06-11-黃仁勳爸爸看好Marvell捧到誰_台積電_日月光_2檔先進封裝拉回都買點_美股跌_科技股輪動快1招布局_鈔錢部署_盧燕俐_ft_廖婉婷_陳威良_20260611.md,1,2026-06-16 05:47:55
NVDA,NVIDIA,先進封裝設備,點膠機/晶片貼合與量測設備,6187,萬潤,點膠與自動化檢測設備商,輝達 AI 晶片封裝複雜度提升，台積電於後段先進封裝製程中擴大導入萬潤的點膠及貼合設備,受惠台積電 CoWoS 產能大擴張，萬潤在後段晶片貼合與自動化檢測設備擁有高市佔率，拉回皆是長線布局買點,7,2026-06-11,2026-06-11-黃仁勳爸爸看好Marvell捧到誰_台積電_日月光_2檔先進封裝拉回都買點_美股跌_科技股輪動快1招布局_鈔錢部署_盧燕俐_ft_廖婉婷_陳威良_20260611.md,1,2026-06-16 05:47:55
NVDA,NVIDIA,AI PC,NVIDIA Spark平台,2458,義隆,輸入裝置/觸控IC供應商,義隆產品導入NVIDIA Spark平台,2H26新平台/新產品導入NVIDIA Spark平台帶動營收動能,7,2026/6/9,1781423416716_【元大投顧】投資早報 20260609.pdf,13,2026/06/15 21:31:21 JST
NVDA,NVIDIA,AI伺服器,GB300/Vera Rubin AI伺服器,2382,廣達,AI伺服器ODM代工,廣達AI伺服器成長動能來自GB300、高密度機櫃及ASIC伺服器,Nvidia GB300及Vera Rubin平台帶動廣達AI伺服器出貨成長,8,2026-06-09,1781423416716_【元大投顧】投資早報 20260609.pdf,9,2026/06/15 21:26:19 JST
AMD,AMD,AI伺服器,MI455 Meta版本伺服器,6669,緯穎,AI伺服器代工,緯穎有望成為AMD MI455 Meta版本主要供應商，2027年量產出貨,緯穎獲AMD MI455 Meta版本主要供應地位，挹注AI伺服器成長,7,2026-06-09,1781423416716_【元大投顧】投資早報 20260609.pdf,9,2026/06/15 20:41:18 JST
NVDA,NVIDIA,AI伺服器液冷,GB300/Vera Rubin液冷散熱,3017,奇鋐,液冷散熱供應商,奇鋐供應AI伺服器液冷散熱產品，受惠GB300放量與Vera Rubin新品導入,GB300持續放量、Vera Rubin新品導入帶動液冷散熱需求,8,2026/6/9,1781423416716_【元大投顧】投資早報 20260609.pdf,5,2026/06/15 21:31:21 JST
AMD,AMD,AI伺服器,MI455 Meta版本,6669,緯穎,主要供應商,緯穎有望成為AMD MI455 Meta版本主要供應商，2027年量產,AMD MI455專案2027年量產挹注緯穎AI伺服器成長,7,2026/6/9,1781423416716_【元大投顧】投資早報 20260609.pdf,7,2026/06/16 02:41:20 JST
AMZN,Amazon (AWS),AI伺服器ASIC,TRN3 ASIC平台機櫃,6669,緯穎,ASIC機櫃供應,緯穎成長動能由AWS TRN3 ASIC平台接棒，2H26開始放量,AWS TRN3 ASIC平台帶動緯穎ASIC機櫃需求,8,2026-06-09,1781423416716_【元大投顧】投資早報 20260609.pdf,4,2026/06/15 20:11:28 JST
AMD,AMD,AI伺服器,MI455 Meta版本機殼,3017,奇鋐,機殼供應,奇鋐成為AMD MI455 Meta版本之機殼供應商,奇鋐獲AMD MI455 Meta版本機殼訂單，挹注營運動能,7,2026-06-09,1781423416716_【元大投顧】投資早報 20260609.pdf,6,2026/06/15 20:41:18 JST
GOOGL,Google,AI PC,Google Book/Aluminium相關專案,2458,義隆,輸入裝置供應商,義隆2H26動能來自Google Book/Aluminium相關專案,新平台新產品導入帶動義隆營收動能,7,2026/6/9,1781423416716_【元大投顧】投資早報 20260609.pdf,6,2026/06/16 02:41:20 JST
