發布時間,類型,個股影響,標題,摘要
2026/06/04 13:07,當下,,台股4萬6附近過熱疑慮升溫 交割戶餘額衝上4.3兆,台股站上4萬6千點後，證券交割戶餘額衝上4.3兆元新高，市場對股市是否過熱的討論升溫，散戶信心也被形容為史上最瘋狂。
2026/06/04 12:26,當下,劍湖山(5701): 8,台股大跌之際 劍湖山連拉5根漲停成盤面逆勢焦點,在台股大盤重挫之際，觀光股劍湖山股價逆勢飆升，連續拉出5根漲停板，成交熱度與話題性同步升溫。
2026/06/04 12:24,當下,,房市退潮資金轉向台股 證券存款年吸金上看兆元,在房市政策持續壓抑下，資金逐步自房市退潮轉向股市，台股交易熱絡也帶動證券劃撥存款明顯增加。
2026/06/04 12:15,當下,,阮慕驊再曬對帳單 台股獲利逾2000萬回擊酸民,財經專家阮慕驊再度公開台股投資對帳單，顯示累計獲利超過2000萬元，以實績回應外界質疑。
2026/06/04 12:05,當下,,黃仁勳旋風帶動資金再配置 台股主動式ETF受惠,輝達執行長黃仁勳在台掀起AI旋風，市場資金開始重新配置，進一步帶動台股主動式ETF與相關商品受惠。
2026/06/04 12:03,展望,,AI投資進入黃金期 法人看台股5萬點只是起點,法人認為AI投資仍處於黃金發展期，並指出關鍵指標支持下，台股5萬點可能只是下一段行情的起點。
2026/06/04 12:00,當下,台積電(2330): -8,台股盤中重挫逾600點失守4萬6 台積電同步下殺,台股盤中一度重挫逾600點，失守46000點大關，權值股台積電也同步下跌40元，對大盤形成沉重壓力。
2026/06/04 11:59,展望,,台股拉回被視為買點 Rubin平台上市概念股受關注,市場認為台股拉回反而提供進場機會，隨著輝達 Rubin 平台即將上市，相關供應鏈與精選標的成為資金關注焦點。
2026/06/04 11:52,當下,,台股自高點回落盤中跌逾600點 失守46000點關卡,台股高檔震盪回落，盤中大跌逾600點並失守46000點關卡。
2026/06/04 11:50,當下,"亞力(1514): 10
士電(1503): 10",台股回檔震盪46000點保衛戰 重電雙雄士電亞力漲停,台股4日面臨46000點保衛戰，雖然大盤回檔，但重電族群維持強勢，士電與亞力雙雙攻上漲停板。
2026/06/04 11:47,展望,"群創(3481): -3
友達(2409): -2
彩晶(6116): -2",面板族群高檔衝刺遇警訊 群創連漲帶動低價股追價風險升高,群創股價雖連續亮燈漲停，但專家提醒面板與低價股短線漲勢已快，友達、彩晶等個股追價風險同步升高，台股高檔操作需更謹慎。
2026/06/04 11:44,當下,,台股4月吸金4.3兆 資金明顯勝過房市,台灣股市4月吸引高達4.3兆元資金流入，年增逾33%，相較購屋貸款成長幅度更高，顯示資金明顯偏向股市。
2026/06/04 11:33,當下,,台股狂飆引爆話題 前議長涉貪案牽出夫妻7億身價與持股,台股大漲背景下，前議長涉貪案件延伸出夫妻財產申報曝光，身價破7億元與持股名單成為市場話題。
2026/06/04 11:30,當下,,金融指數再創高 00919今年含息報酬突破42%,金融指數再度刷新高點，帶動高含金量台股ETF表現亮眼，其中00919今年以來含息績效已上漲42.04%。
2026/06/04 11:26,當下,,台股創高後逢壓輝達CPO與重電四雄接棒輪動,台股創高後遭遇賣壓，市場資金轉向輝達 CPO 概念股與重電四雄，盤面呈現明顯輪動格局。
2026/06/04 11:21,展望,,谷月涵示警台股末升段 謝金河反指不易崩盤掀論戰,谷月涵警示台股已進入末升段，提醒投資人留意修正風險；謝金河則指出台股具備不易崩盤的底氣，兩派看法交鋒引發討論。
2026/06/04 11:17,當下,,台股高檔震盪爆量洗盤 增貸歐印風險升高,台股高檔震盪伴隨爆量洗盤，市場「懼高症」升溫，專家提醒若再以房屋增貸資金重押股市，恐面臨股房兩空的高風險。
2026/06/04 11:14,當下,台積電(2330): -8,台股跌逾500點失守4萬6 台積電重挫拖累大盤,台股今日大跌逾500點失守46000點關卡，其中權值股台積電重挫40元，對大盤形成明顯壓力。
2026/06/04 11:14,當下,,台股失守46K 記憶體三雄僅一檔逆勢爆發,台股失守46000點關卡之際，台廠記憶體三雄中僅有一檔逆勢走強，盤中一度衝上半根漲停，成交量也快速放大。
2026/06/04 11:13,當下,"景碩(3189): 7
宏碁(2353): 7
英業達(2356): 7",COMPUTEX開展背板效應發酵 景碩宏碁英業達受惠走強,COMPUTEX今日開展，輝達與高通背板效應帶動相關概念股受市場青睞，景碩、宏碁與英業達等個股表現強勢。
2026/06/04 11:05,當下,"台積電(2330): -6
廣達(2382): -7
士電(1503): 10
亞力(1514): 10",台股早盤重挫逾600點 台積電廣達走弱 士電亞力逆勢漲停,台股早盤大跌604點，權值股台積電與廣達明顯走弱，但重電族群士電與亞力雙雙逆勢攻上漲停。
2026/06/04 10:58,當下,元大台灣50(0050): 5,台股開戶逼近1500萬 嬰兒股神現象帶動0050定期定額熱,台股開戶人數持續逼近1500萬大關，家長替新生兒提早開戶並定期定額布局0050的現象引發市場關注，顯示年輕化投資趨勢升溫。
2026/06/04 10:52,當下,,台股回測46000點 重電四雄發威兩檔攻漲停,台股今日下跌400點回測46000點大關，盤面雖然偏弱，但重電四雄表現強勢，其中兩檔個股亮燈漲停，成為市場避風港。
2026/06/04 10:47,當下,台積電(2330): -8,台股開低重挫逾500點 台積電跌40元至2385元,台股開盤即重挫逾500點，台積電同步大跌40元至2385元，成為拖累大盤的主要壓力來源。
2026/06/04 10:42,當下,,台股早盤跌逾500點失守4萬6 分析師：拉回休息反而健康,台股早盤重挫逾500點、失守46000點大關，分析師認為這波拉回屬於健康修正，對後續走勢不必過度悲觀。
2026/06/04 10:42,當下,,台股市值創新高 證交所藉COMPUTEX助攻AI發展,台股市值刷新歷史新高，證交所也透過COMPUTEX平台持續推動AI產業發展，強化市場與產業連結。
2026/06/04 10:40,當下,台積電(2330): -4,台股開盤跌370點 台積電走弱力守46000點,台股開盤受台積電下跌拖累，指數重挫370點，市場關注46000點關卡的支撐力道。
2026/06/04 10:37,當下,聯發科(2454): 5,中東緊張升溫拖累大盤 聯發科逆勢走揚成焦點,受中東緊張局勢升溫影響，台股早盤大跌約400點，不過聯發科表現相對抗跌，逆勢上揚成為盤面亮點。
2026/06/04 10:37,當下,,台股盤中挫近700點跌破46000點 強勢股熄火,台股盤中因強勢股轉弱而大幅回檔，指數一度挫近700點並跌破46000點大關。
2026/06/04 10:36,當下,台積電(2330): -2,台積電股東會登場但股價小跌 台股開盤退守4萬6,台積電股東會今日登場，但股價先行小跌，加上高權值股轉弱，拖累台股開盤下挫並退守46000點。
2026/06/04 10:35,當下,,中東緊張升溫 台股高點回落早盤跌逾500點,受中東緊張局勢升溫影響，市場避險情緒升高，台股自高點回落，早盤跌逾500點。
2026/06/04 10:23,當下,,台股攻上4萬6 金控獲利亮眼受市場熱議,台股指數攻上4萬6千點後，市場也聚焦金控獲利表現，一家非傳統三大金控的老牌金控因獲利優異而受到投顧點名。
2026/06/04 10:21,當下,"台達電(2308): -5
鴻海(2317): -5
台積電(2330): -6
聯發科(2454): 6",台股開低重挫 台積電台達電鴻海走弱 聯發科逆勢撐盤,台股今日開盤重挫超過500點，台積電、台達電與鴻海同步走弱，僅聯發科逆勢強漲，成為少數撐盤焦點。
2026/06/04 10:16,當下,,中東緊張升溫 台股高點回落早盤跌逾500點,受中東緊張局勢升溫影響，台股早盤出現明顯賣壓，自高點大幅回落並下跌逾500點。
2026/06/04 10:12,當下,,台股開盤下跌95點,台股今天開盤即面臨賣壓，指數下跌95.09點。
2026/06/04 10:10,當下,台積電(2330): -8,台股開盤受台積電下殺拖累 指數重挫逾500點,台股開盤受台積電重挫與AI概念股走弱拖累，大盤指數重挫逾500點。
2026/06/04 10:07,當下,,台股一度大跌逾500點 失守4萬6大關,台股盤中劇烈震盪，一度大跌超過500點並失守4萬6千點關卡。
2026/06/04 10:02,當下,台積電(2330): -8,台股失守46K下殺571點 台積電同步跌至2385元,台股加權指數重挫571點、跌破46000點大關至45887點，其中台積電下跌40元至2385元，成為拖累大盤的重要因素。
2026/06/04 09:35,展望,,伊朗衝突與博通財報雙重衝擊 台股盤前面臨壓力,美股因伊朗衝突重挫，加上博通盤後財報不如預期崩跌，台股今日開盤恐承受雙重利空壓力。
2026/06/04 09:07,當下,,外資持股突破10% 強勢股11天暴漲逾65%,外資持續加碼某檔個股，使持股比重突破10%，該股在11個交易日內大漲65.13%，成為市場最受矚目的強勢股之一。
2026/05/31 09:09,當下,,台股大拆股時代來臨 專家提醒反分割風險不可忽視,市場探討台股拆股潮，專家提醒投資人除了股票分割外，也要留意反分割機制如10股變1股所帶來的交易風險。
2026/05/30 10:37,當下,,台股衝上4萬點後沒上車怎麼辦 網友熱議錯過行情心態,台股站上4萬點後，有網友討論沒跟上行情的心情，引發熱烈回響，多數人認為最怕的是只會後悔卻不敢進場。
2026/06/01 23:27,展望,,台股衝上4萬5還能買嗎 專家提醒高檔最怕錯誤操作,台股創下4萬5千點新高後，市場關注是否還能進場，專家提醒，高檔時期某些錯誤操作比單純買在高點更傷資產。
2026/06/01 22:01,當下,,黃仁勳效應助攻台股大漲 專家驚見個股意外漲停,輝達執行長黃仁勳效應持續發酵，帶動台股大漲，連帶讓部分個股意外攻上漲停，引發市場驚奇。
2026/06/01 21:21,當下,,台股大漲卻引發社會分化 沒上車股民崩潰論戰,台股持續大漲，未參與行情的網友感嘆少賺數千萬、直呼社會像在養有錢人，引發社群熱烈論戰。
2026/06/01 18:56,展望,,台股近三年半市值增107兆 專家提醒過熱風險升高,台股近三年半市值大增107兆元，漲勢驚人，但專家同步示警市場已有過熱跡象，後續需留意修正風險。
2026/06/01 18:01,展望,,台股衝上4萬5後 連賢明示警漲太快修正恐加大,中經院院長連賢明指出台股漲勢過快，提醒後續回檔修正幅度可能比市場想像更大。
2026/06/01 12:32,展望,,台股融資高檔壓力升溫 專家建議緊盯三大訊號,面對台股融資水位偏高的隱憂，專家建議投資人密切觀察三大訊號，以便在高檔行情中做好風險控管。
2026/05/29 15:55,展望,,史上最狂5月台股暴漲5896點 專家看後市仍未飆完,台股5月單月暴漲5896點，寫下多項歷史紀錄，市場專家認為這波多頭行情仍未結束，後續仍有上攻動能。
